quarter,town,flat_type,median_rent
2005-Q2,ANG MO KIO,1-RM,na                        
2005-Q2,ANG MO KIO,2-RM,na                        
2005-Q2,ANG MO KIO,3-RM,800
2005-Q2,ANG MO KIO,4-RM,950
2005-Q2,ANG MO KIO,5-RM,-                         
2005-Q2,ANG MO KIO,EXEC,na                        
2005-Q2,BEDOK,1-RM,na                             
2005-Q2,BEDOK,2-RM,na                             
2005-Q2,BEDOK,3-RM,800
2005-Q2,BEDOK,4-RM,900
2005-Q2,BEDOK,5-RM,1025
2005-Q2,BEDOK,EXEC,-                              
2005-Q2,BISHAN,1-RM,na                            
2005-Q2,BISHAN,2-RM,na                            
2005-Q2,BISHAN,3-RM,-                             
2005-Q2,BISHAN,4-RM,1000
2005-Q2,BISHAN,5-RM,1100
2005-Q2,BISHAN,EXEC,-                             
2005-Q2,BUKIT BATOK,1-RM,na                       
2005-Q2,BUKIT BATOK,2-RM,na                       
2005-Q2,BUKIT BATOK,3-RM,745
2005-Q2,BUKIT BATOK,4-RM,925
2005-Q2,BUKIT BATOK,5-RM,-                        
2005-Q2,BUKIT BATOK,EXEC,-                        
2005-Q2,BUKIT MERAH,1-RM,na                       
2005-Q2,BUKIT MERAH,2-RM,-                        
2005-Q2,BUKIT MERAH,3-RM,850
2005-Q2,BUKIT MERAH,4-RM,-                        
2005-Q2,BUKIT MERAH,5-RM,-                        
2005-Q2,BUKIT MERAH,EXEC,na                       
2005-Q2,BUKIT PANJANG,1-RM,na                     
2005-Q2,BUKIT PANJANG,2-RM,na                     
2005-Q2,BUKIT PANJANG,3-RM,-                      
2005-Q2,BUKIT PANJANG,4-RM,-                      
2005-Q2,BUKIT PANJANG,5-RM,-                      
2005-Q2,BUKIT PANJANG,EXEC,-                      
2005-Q2,BUKIT TIMAH,1-RM,na                       
2005-Q2,BUKIT TIMAH,2-RM,na                       
2005-Q2,BUKIT TIMAH,3-RM,-                        
2005-Q2,BUKIT TIMAH,4-RM,-                        
2005-Q2,BUKIT TIMAH,5-RM,-                        
2005-Q2,BUKIT TIMAH,EXEC,-                        
